Timestamp,Gold_price,Exchange_mid_rate,Xau_Price
30/7/2020,29000,31.4145,1960.5
31/7/2020,29050,31.2596,1975.89
1/8/2020,29100,31.2596,1975.89
3/8/2020,29100,31.2288,1977.25
4/8/2020,29050,31.1381,2018.52
5/8/2020,29700,31.0224,2040.4
6/8/2020,30050,31.0442,2063.81
7/8/2020,30300,31.1598,2035.03
8/8/2020,30000,31.1598,2035.03
10/8/2020,29900,31.1718,2027.77
11/8/2020,29250,31.1116,1911.64
12/8/2020,28400,31.1116,1918.07
13/8/2020,28350,31.0493,1954
14/8/2020,28650,31.0575,1944.29
15/8/2020,28600,31.0575,1944.29
17/8/2020,28750,31.1322,1986.2
18/8/2020,29500,31.1604,2001.2
19/8/2020,29350,31.183,1929.82
20/8/2020,28750,31.3779,1943.6
21/8/2020,28900,31.4408,1940.16
22/8/2020,28950,31.4408,1940.16
24/8/2020,28950,31.5529,1933.09
25/8/2020,28700,31.4825,1928.19
26/8/2020,28500,31.3904,1954.03
27/8/2020,28700,31.2631,1929.2
28/8/2020,28850,31.2459,1964.89
29/8/2020,28850,31.2459,1964.89
31/8/2020,28850,31.0874,1970.15
1/9/2020,29150,31.0172,1970.49
2/9/2020,29100,31.2254,1942.98
3/9/2020,28750,31.3424,1930.85
4/9/2020,28800,31.3424,1932.85
5/9/2020,28700,31.3424,1932.85
7/9/2020,28650,31.3424,1929.18
8/9/2020,28600,31.404,1931.26
9/9/2020,28650,31.3909,1946.66
10/9/2020,28850,31.286,1954.07
11/9/2020,28850,31.3124,1941.5
12/9/2020,28700,31.3124,1941.5
14/9/2020,28850,31.2879,1956.37
15/9/2020,29000,31.2417,1955.52
16/9/2020,28950,31.1783,1959.32
17/9/2020,28700,31.1836,1942.6
18/9/2020,28750,31.1301,1949.69
19/9/2020,28650,31.1301,1949.69
21/9/2020,28600,31.0447,1912.57
22/9/2020,28300,31.3782,1899.28
23/9/2020,28150,31.456,1863.55
24/9/2020,27750,31.5958,1868.04
25/9/2020,27950,31.5313,1860.05
26/9/2020,27850,31.5313,1860.05
28/9/2020,27850,31.6712,1880.85
29/9/2020,28200,31.6876,1897.69
30/9/2020,28250,31.6579,1885.44
1/10/2020,28350,31.6018,1905.05
2/10/2020,28550,31.6015,1898.7
3/10/2020,28450,31.6015,1898.7
5/10/2020,28300,31.5136,1912.9
6/10/2020,28250,31.26,1877.13
7/10/2020,27950,31.3066,1887.22
8/10/2020,27900,31.219,1893.09
9/10/2020,28150,31.1285,1929.43
10/10/2020,28300,31.1285,1929.43
12/10/2020,28350,31.099,1921.95
13/10/2020,28350,31.099,1890.82
14/10/2020,28000,31.2069,1900.89
15/10/2020,28000,31.1739,1907.82
16/10/2020,28150,31.1968,1898.97
17/10/2020,28050,31.1968,1898.97
19/10/2020,28200,31.2046,1904.27
20/10/2020,28200,31.236,1906.39
21/10/2020,28350,31.2252,1924.49
22/10/2020,28350,31.2539,1904.04
23/10/2020,28250,31.2539,1900.79
24/10/2020,28200,31.2539,1900.79
26/10/2020,28150,31.3038,1901.69
27/10/2020,28150,31.2551,1906.83
28/10/2020,28100,31.1723,1877.06
29/10/2020,27800,31.2534,1867.13
30/10/2020,27650,31.1977,1877.95
31/10/2020,27750,31.1977,1877.95
2/11/2020,27850,31.1588,1895.1
3/11/2020,27900,31.0922,1908.36
4/11/2020,27900,31.1226,1903.21
5/11/2020,28100,31.0333,1948.56
6/11/2020,28200,30.6945,1951.51
7/11/2020,28250,30.6945,1951.51
9/11/2020,28300,30.5102,1861.86
10/11/2020,27150,30.4732,1876.5
11/11/2020,26950,30.265,1864.71
12/11/2020,26850,30.2698,1875.76
13/11/2020,26850,30.2317,1888.04
14/11/2020,26950,30.2317,1888.04
16/11/2020,27050,30.1726,1888.52
17/11/2020,27000,30.1749,1878.6
18/11/2020,27000,30.2453,1871.41
19/11/2020,27000,30.3652,1867.37
20/11/2020,26800,30.3327,1870.49
21/11/2020,26850,30.3327,1870.49
23/11/2020,26850,30.2726,1835.85
24/11/2020,26300,30.3667,1807.51
25/11/2020,26050,30.3428,1805.3
26/11/2020,26050,30.3191,1810.57
27/11/2020,25950,30.2936,1788.13
28/11/2020,25700,30.2936,1788.13
30/11/2020,25500,30.2805,1777.02
1/12/2020,25700,30.2723,1814.87
2/12/2020,26150,30.2312,1831.01
3/12/2020,26250,30.2127,1840.36
4/12/2020,26300,30.1714,1837.61
5/12/2020,26300,30.1714,1837.61
7/12/2020,26250,30.1714,1863.69
8/12/2020,26550,30.1448,1871.36
9/12/2020,26500,30.0212,1839.11
10/12/2020,26100,30.0212,1835.31
11/12/2020,26150,30.0212,1839.03
12/12/2020,26250,30.0212,1839.03
14/12/2020,26050,30.0891,1827.17
15/12/2020,26250,30.0801,1853.46
16/12/2020,26450,30.0437,1864.15
17/12/2020,26500,29.9181,1885.87
18/12/2020,26550,29.804,1880.66
19/12/2020,26600,29.804,1880.66
21/12/2020,26700,30.0006,1876.21
22/12/2020,26800,30.1412,1859.56
23/12/2020,26750,30.199,1872.08
24/12/2020,26750,30.1867,1876.56
25/12/2020,26750,30.0736,1875.82
26/12/2020,26750,30.0736,1875.82
28/12/2020,26900,30.1155,1871.19
29/12/2020,26750,30.0913,1877.99
30/12/2020,26700,30.0371,1893.37
31/12/2020,26850,30.0371,1896.49
1/1/2021,26950,30.0371,1898.1
